Y1,Y2,Y3,Y4,X1,X2,X3,X4
20.3,20.8,28.4,20.2,9.3,7.4,9.5,9.3
19.1,14.6,21.5,18.6,4.1,6.4,3.7,12.4
19.3,18,20.8,22.6,22.4,8.5,11.7,19.9
20.9,7.3,22.2,11.4,9.1,9.5,7.4,6.9
22,19.4,21.6,23.6,15.8,11.8,5.3,-1
23.5,13.5,21.8,24,7.1,8.8,7.4,10.6
13.8,14.7,25.2,26,15.9,8.4,7.4,6.4
18.8,15.3,22.5,26.8,6.9,5.1,8.6,10.6
20.9,12.6,21.1,19.7,16,11.4,9.1,1.2
18.6,13,21.7,22.7,6.7,15.1,11.4,7.7
22.3,13.1,21.4,16.8,8.2,12.6,8.4,15.5
17.6,10.3,20.8,20.2,16,8,7.3,6.9
20.8,14.9,23,21.7,6.4,10.3,11.3,13.7
28.7,14.8,17.4,20.9,11.8,10.4,4.4,3.7
15.2,16.2,21.3,26.9,3.5,9.5,9.3,4.4
20.9,15.7,15.1,16.3,21.7,9.5,10.9,11.5
18.4,16.3,17.8,19.9,12.2,15.1,10.9,4.2
10.3,11.5,26.4,15.5,9.3,6.6,7.7,13.9
26.3,12.2,21.6,26.5,8,15.4,7.7,12.9
28.1,11.8,22.5,21.7,6.2,8.2,11.5,1.2
